study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA274258	SAMN03324191	SRX863117	SRR1784137	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/007/SRR1784137/SRR1784137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/007/SRR1784137/SRR1784137_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR178/007/SRR1784137
PRJNA274258	SAMN03324187	SRX863118	SRR1784138	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/008/SRR1784138/SRR1784138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/008/SRR1784138/SRR1784138_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR178/008/SRR1784138
PRJNA274258	SAMN03324175	SRX863119	SRR1784139	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/009/SRR1784139/SRR1784139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/009/SRR1784139/SRR1784139_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR178/009/SRR1784139
PRJNA274258	SAMN03324177	SRX863120	SRR1784140	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/000/SRR1784140/SRR1784140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/000/SRR1784140/SRR1784140_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR178/000/SRR1784140
PRJNA274258	SAMN03324190	SRX863121	SRR1784141	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/001/SRR1784141/SRR1784141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/001/SRR1784141/SRR1784141_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR178/001/SRR1784141
PRJNA274258	SAMN03324198	SRX863122	SRR1784142	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/002/SRR1784142/SRR1784142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/002/SRR1784142/SRR1784142_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR178/002/SRR1784142
PRJNA274258	SAMN03324179	SRX863123	SRR1784143	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/003/SRR1784143/SRR1784143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/003/SRR1784143/SRR1784143_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR178/003/SRR1784143
PRJNA274258	SAMN03324180	SRX863124	SRR1784144	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/004/SRR1784144/SRR1784144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/004/SRR1784144/SRR1784144_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR178/004/SRR1784144
PRJNA274258	SAMN03324181	SRX863125	SRR1784145	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/005/SRR1784145/SRR1784145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/005/SRR1784145/SRR1784145_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR178/005/SRR1784145
PRJNA274258	SAMN03324176	SRX863126	SRR1784146	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/006/SRR1784146/SRR1784146.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR178/006/SRR1784146
PRJNA274258	SAMN03324195	SRX863127	SRR1784147	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/007/SRR1784147/SRR1784147.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR178/007/SRR1784147
